id,事務所id,名前,本名,別名,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,配偶者,親族,弟子,公式サイト,YouTube,
323,146,及川博文,,,,,,,,,,,NSC東京校9期（菊地） NSC東京校通信講座1期（及川）,,,,,,,,
324,108,おいでやす小田,小田 芳裕（おだ よしひろ）,,1978/7/25,,京都府京都市,A型,173 cm,京都弁,京都府立北稜高等学校,,NSC大阪校23期,2000/1/1,,既婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=3373,,
325,44,おいなりさん ,紺野 幸平（こんの こうへい）,,1986/7/27,,福島県,A型,167cm,,,,,,,,,,http://grapecom.jp/talents/oinarisan,,
326,79,おいなり達也,林 達也(はやし たつや),,1994/12/16,,北海道,A型,,,札幌放送芸術&ミュージック・ダンス専門学校,,,,,,,,,,
327,95,桜花 ,,,1986/4/10,,埼玉県,AB型,160cm,,,,,2008/10/12,,,,,http://com.horipro.co.jp/talent/ohka/,,
328,999,逢坂じゅん,,,,,,,,,,タイヘイ洋児,,,,,,,,,
329,108,お?い!久馬,久馬 歩（きゅうま あゆむ）,,1972/7/22,,大阪府岸和田市,不明,,大阪弁,岸和田市立産業高等学校商業科卒業,,NSC大阪校10期,1991/1/1,,,,,https://ameblo.jp/kyuumablog/,,
330,999,大泉滉,,,1925/1/1,1998/4/23,,O型,165cm,,,,,,,大泉道子,,,,,
331,108,大上邦博,,,,,,,,,,,NSC大阪校11期,1995/1/1,2014/1/1,,,,https://blogs.yahoo.co.jp/hariganerock_ohue_blog,,
332,146,大河壮太,,,,,,,,,,,NSC東京校9期,2007/12/1,2009/7/1,,,,,,
333,108,大川知英,,,,,,,,,,,渋谷公園通り劇場,1997/1/1,,,,,https://web.archive.org/web/20080207025057/http://nibunnogo.laff.jp/,,
334,129,大川豊,大川豊,総裁,1962/2/14,,東京都豊島区,O型,163cm,,明治大学商学部商学科,,,1983/1/1,,既婚,,,https://okw.co.jp/,,
335,88,おおかわら,大川原 篤史,,1977/5/31,,埼玉県蓮田市,B型,170cm,,早稲田大学中退,,スクールJCA7期（野田・おおかわら） スクールJCA8期（和田）,2007/8/1,,,,,http://www.pjinriki.com/talent/onigashima/,,
336,108,大木こだま,西山 利幸,,1951/4/26,,大阪府吹田市,B型,175cm,,,中田アップ（ひびき）,,1981/1/1,,,,,,,
337,108,大木ひびき,加藤 修,,1955/6/21,,滋賀県彦根市,A型,178cm,,滋賀県立彦根工業高等学校,中田アップ（ひびき）,,1981/1/1,,,,,,,
338,95,大木三郎,奥村 和宏（おくむら かずひろ）。,,,,大阪市阿倍野区,,,,大阪市立第二工芸高等学校卒業,,NSC大阪校23期,,,,,,http://com.horipro.co.jp/talent/%E3%83%A6%E3%83%BC%E3%83%9E/index.html,,
339,88,大久保佳代子,大久保 佳代子,,1971/5/12,,愛知県田原市,O型,158cm,共通語,千葉大学文学部文学科,,,1992/1/1,,未婚,,,http://www.pjinriki.com/talent/oasiz/,,
340,999,大久保ノブオ,大久保乃武夫（読み同じ）,のんちん ノン様 リーダー,1967/5/3,,長野県長野市,O型,180cm,,,,,1996/1/1,,,,,,,
341,104,大重わたる,大重弥,,1982/2/6,,東京都,A型,168cm,共通語,,,,2000/1/1,,,,,https://www.watanabepro.co.jp/mypage/4000010/,,
342,999,大下宗吾,,,1978/3/7,,,B型,178cn,,,,,,,既婚,,,,,
343,999,大島直也,大島 直也（読み同じ）,,1971/6/6,,神奈川県横浜市,O型,,,,,日本映画学校,1995/1/1,,,,,,,
344,108,大島美幸,鈴木 美幸（旧姓：大島）,,1980/1/13,,栃木県大田原市 （旧那須郡黒羽町）,O型,166cm,栃木弁（県北）,栃木県立黒羽高等学校,,NSC東京校4期,1998/1/1,,鈴木おさむ,平山あや（従姪）,,,,
345,60,大島育宙,大島 育宙,,1992/12/27,,東京都,,,共通語,,,,2015/1/1,,,,,,https://www.youtube.com/user/UCMutK6zOvD0EJuudaK9kOZw,
346,98,大嶋の一番弟子,大嶋 徹 （おおしま とおる）,,1988/8/3,,京都府京都市,B型,172cm,,追手門学院大学卒業,自分,NSC大阪校32期,2010/1/1,,,,自分,,,
347,108,おおすかてんちょ?,大須賀 顕（おおすか あきら）,てんちょ?,1983/9/21,,静岡県湖西市,A型,178cm,共通語,静岡県立浜松湖南高等学校,,NSC東京校14期,2020/1/1,,無し,,,,,
348,999,太田彩乃,,,1984/10/15,,東京都,B型,,,,,,,,,,,,,
349,89,大田賢二,大田 賢二,,1973/9/4,,三重県,0型,171cm,,,,,1996/1/1,2002/1/1,,,,http://dokaan.net/,,
350,65,おおたさゆり,,,,,,,,,,,スクールJCA18期（白幡）,2012/1/1,2014/1/1,,,,http://www.twinkleco.co.jp/talent/syoujojanpuzu.html,,
351,108,太田拓郎,太田 拓郎（おおた たくろう）,,1984/12/28,,神奈川県横浜市,A型,167cm,,神奈川県立東金沢高等学校,,NSC東京校10期,2004/1/1,,未婚,,,,,
352,60,太田光,太田 光,ピーちゃん、ぴかり、アーリン、恐妻家,1965/5/13,,埼玉県上福岡市 （現・ふじみ野市）,O型,170cm,なし（共通語）,日本大学芸術学部（中退）,,太田プロのスカウト,1988/1/1,,太田光代,,,http://www.titannet.co.jp/talent/bakushomondai/,,
353,108,太田博久,,,,,,,,,,,NSC東京校12期生,2007/1/1,,,,,https://web.archive.org/web/20080708151407/http://junglepocket.laff.jp/,https://www.youtube.com/channel/UCOTWVPEpyVD6SyA3PdgIJw,
354,85,大田正輝,,,1994/4/27,,広島県広島市,B型,,,,,,,,,,,,,
355,108,太田芳伸,,,1981/7/5,,兵庫県神戸市,O型,173cm,大阪弁,大阪経済大学,,NSC大阪校23期,2005/1/1,,,,,,,
356,108,太田隆司 ,,,,,,,,,,,NSC東京校15期,2010/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6034,,
357,108,太田隆司 ,,,,,,,,,,,NSC東京校15期,2010/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6034,,
358,104,大滝裕一,,,,,,,,,,,,1997/1/1,2008/7/1,,,,http://www.watanabepro.co.jp/mypage/artist/18kin.html,,
359,94,大竹一樹,,竹ちゃん,1967/12/8,,東京都墨田区,O型,170cm,なし（共通語）,東海大学文学部北欧文学科中退,,ホリプロ,1988/1/1,,中村仁美,,なし,,,
360,2,大竹まこと,大竹 真,,1949/5/22,,東京都目黒区,A型,175cm,,,,,1977/1/1,,既婚,弟：大竹オサム（作家・料理人） 長男：大竹涼太（ASH&Dコーポレーションマネージャー）,ユリオカ超特Q。,,,
361,108,大谷ノブ彦,大谷 伸彦,,1972/6/8,,大分県佐伯市,B型,175cm,,明治大学政治経済学部,,,1995/1/1,,,,,https://web.archive.org/web/20080207024635/http://dienoji.laff.jp/,,
362,60,大谷小判♀,大谷 宜至,,,,広島県など,,,共通語,明治大学,,,2015/1/1,,,,,,,
363,999,太田家元九郎,太田（おおた） 元（はじめ）,,1954/1/3,2014/7/18,青森県東津軽郡今別町,,,,,菊池武 3代目古今亭志ん朝,,,,,,林家ひろ木,,,
364,108,大地洋輔,,,1972/7/13,,大分県佐伯市,A型,169cm,,大分県立佐伯鶴岡高等学校,,,1995/1/1,,,,,https://web.archive.org/web/20080207024635/http://dienoji.laff.jp/,,
365,95,大津広次,,,1989/7/24,,大阪府堺市,O型,171cm,,,,目黒笑売塾,2014/4/1,,,,,http://com.horipro.co.jp/talent/kitune/,,
366,999,大辻司郎,,,1896/8/6,1952/4/9,,,,,,,,,,,,,,,
367,108,大トニー,,,,,,,,,,,NSC東京校15期,2009/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=3202,,
368,999,鳳啓助,小田 啓三,志織 慶太（脚本家としての名義）,1923/3/16,1994/8/8,,,,,,,,,,鳳ハマ子（夫人）、京唄子（元夫人）,,,,,
369,108,大西浩仁,冨好真,,1960/10/6,,兵庫県尼崎市,,171cm,関西弁,大阪経済大学,,お笑いスター誕生!!,1980/1/1,,既婚,,,http://chapotomi.sblo.jp/,,
370,108,大西ライオン,大西 功二,,1979/11/13,,大阪府豊能郡豊能町,B型,167cm,大阪弁、共通語,大阪府立刀根山高等学校,,NSC東京校5期,1999/1/1,,未婚,,,https://web.archive.org/web/20080207024927/http://lion.laff.jp/,,
371,117,大野ひとみ,,上野碧唯美（本名）、山野みどり（旧芸名）,1987/11/27,,千葉県柏市,O型,,,,,,2008/9/1,2011/2/1,,,,,,
372,95,おおのまりあ,,,,,,,,,,,東京アナウンス学院,2015/1/1,,,,,,,
373,95,大野万里愛,,,,,,,,,,,東京アナウンス学院,2015/1/1,,,,,,,
374,96,大野泰広,大野 泰広（おおの やすひろ）,,1976/11/10,,東京都,A型,,,,,,1997/1/1,,,,,https://www.maseki.co.jp/talent/oonoyasuhiro,,
375,999,大葉かやろう,吉本 載弘（よしもと のりひろ）,,1981/9/2,,大阪府,B型,169cm,関西弁,,,ワタナベコメディスクール7期,,,,,,,,
376,108,大林健二,,,1983/4/6,,大阪府大阪市城東区,,171cm,,大阪市立都島工業高等学校,,NSC大阪校23期（西森）,2007/1/1,,,,,,,
377,108,大原優一,,,,,,,,,,,NSC東京校16期,2011/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=4459,https://www.youtube.com/channel/UCcg9UFNQTlEBTSKDpzIVShQ,
378,999,おーぷん金子,金子祐也,,1974/5/6,,,,167,,,,,,,,,,,,
379,104,大前りょうすけ,,,,,,,,,,,,2005/1/1,,,,,https://www.watanabepro.co.jp/mypage/4000019/,,
380,104,大前亮将,,,,,,,,,,,,2005/1/1,,,,,https://www.watanabepro.co.jp/mypage/4000019/,,
381,999,大松絵美,,,,,,,158?cm (5?ft 2?in),,,,,,,,,,,https://www.youtube.com/user/エミリンチャンネル,
382,88,大水洋介,大水 洋介,,1982/12/12,,青森県東津軽郡平内町,O型,182cm,共通語,青森県立青森南高等学校卒業,,スクールJCA10期,2001/1/1,,既婚,,,http://www.pjinriki.com/talent/rubbergirl/,,
383,108,大溝清人,大溝 清人,清人、大沼部くん,1978/9/3,,福岡県福岡市東区志賀島,A型,167cm,博多弁、関西弁,福岡第一高等学校中退,,福岡吉本,1997/1/1,,有り,,,,,
384,999,大宮敏充,恒川 登志夫（つねかわ としお）,言問 三平（こととい さんぺい）,1913/4/13,1976/12/23,,,,,,,,,,,,,,,
385,999,大村小町,柳谷 真澄,,1978/10/18,,秋田県能代市,B型,164cm,秋田弁,,,,,,,,,https://web.archive.org/web/20090109023009/http://blog.oricon.co.jp/komachi/,,
386,108,大村朋宏,大村 朋宏,,1975/4/3,,静岡県御殿場市,O型,177 cm,共通語,明治大学中退,,NSC東京校3期,1997/1/1,,既婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=205,,
387,108,大山英雄,大山 英雄,,1970/7/23,,兵庫県伊丹市,O型,177cm,関西弁,,,NSC大阪校8期,1989/1/1,,既婚,,,https://web.archive.org/web/20120303211741/http://hideo.laff.jp/index.html,,
388,999,大湯みほ,大湯 美穂（おおゆ みほ）,,1981/3/20,,宮城県仙台市,,,,,,,,,,,,http://nukazukemiho.hiho.jp,,
389,999,オール巨人,南出 繁 みなみで しげる,モンスター 吉本の風紀委員長 全部ジャイアンツ 巨人師匠,1951/11/16,,大阪府大阪市天王寺区,B型,184 cm,大阪弁,大阪商業高等学校 （現・大商学園高等学校）,岡八朗,,1975/1/1,,青木みき,南出仁寛（長男） 南出一葉（長女）,きどゆういち コラアゲンはいごうまん 有吉弘行 角田龍平など,https://profile.yoshimoto.co.jp/talent/detail?id=245,,
390,108,オール阪神,高田 昭徳,,1957/3/7,,大阪府泉大津市,A型,161cm,,私立成器高等学校,,,1975/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=244,,
391,146,大脇拓平,大脇拓平,グイグイ,1980/2/29,,兵庫県神戸市,A型,177cm,摂津弁,,,NSC大阪校25期,2004/1/1,,既婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=3377,,
392,999,大輪教授,大輪貴史,キョンキョン,1975/5/21,,埼玉県久喜市,AB型,171cm,共通語,専門学校東京アナウンス学院,,,1998/1/1,2014/1/1,既婚,,,,,
393,108,おかけんた,龝山 隆,,1961/3/28,,大阪府大阪市住吉区,O型,,,,岡八郎,NSC大阪校1期（けんた）,1983/3/1,1983/1/1,,,,http://www.fandango.co.jp/talent_prf/action/TalentProfileDetailSearchAction?unitId=10024&talentId=0,,
394,146,岡慎太郎,,,,,,,,,,,お笑い番長福岡 NSC東京校14期,2005/2/14,2019/3/30,,,,https://web.archive.org/web/20120504075252/http://okashin.laff.jp/,,
395,108,岡友美,,,,,,,,,,,NSC大阪校17期,1997/4/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=176,,
396,108,岡八朗,市岡 輝夫,,1938/4/16,2005/7/26,兵庫県尼崎市,,,,尼崎市立尼崎高等学校,花菱アチャコ,,1959/1/1,2005/1/1,,市岡裕子（長女）,オール阪神・巨人 おかけんた・ゆうた,,,
397,108,おかゆうた,井元 保則,,1962/6/11,,鹿児島県,A型,,,新東淀中学校,岡八郎,NSC大阪校1期（けんた）,1983/3/1,,,,,http://www.fandango.co.jp/talent_prf/action/TalentProfileDetailSearchAction?unitId=10024&talentId=0,,
398,999,小笠原まさや,小笠原 祐哉,,1975/11/25,,北海道寿都郡寿都町,A型,,,,,NSC大阪校24期,2005/1/1,,,,,,,
399,117,岡田圭右,,,1968/11/17,,大阪府大阪市中央区（旧東区）,O型,176cm,大阪弁,関西外国語大学短期大学部,,松竹芸能タレント養成所,1993/1/1,,岡田祐佳（1995年2017年） 一般女性（2019年）,岡田隆之介（長男） 岡田結実（長女）,,,,
400,85,岡田康太,,,,,,,,,,,,2009/1/1,2016/5/31,,,,https://web.archive.org/web/20160513171459/http://com.horipro.co.jp/talent/%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8%E3%82%B5%E3%83%B3%E3%82%BB%E3%83%83%E3%83%88/index.html,,
401,108,尾形貴弘,尾形 貴弘,おがちん、サンキュー,1977/4/27,,宮城県桃生郡鳴瀬町（現・東松島市）,B型,180cm,標準語,中央大学文学部,,NSC東京校8期,2003/1/1,,尾形あい,,,,https://www.youtube.com/channel/UCwjidOKo0GH6fa3KyTgAS4w,
402,999,岡田直子,,,1984/4/30,,,B,143cm,,,,,,,,,,,https://www.youtube.com/channel/UCM2ZWPIP9YumkdcZjdNOrpg,
403,117,緒方雅史 ,緒方 雅史（おがた まさし）,甘王（別名義） オキャディー（旧芸名）,1974/3/1,,大阪府和泉市,A型,173cm,大阪弁,,,,1994/1/1,,,,,https://www.shochikugeino.co.jp/talents/okyadhi,,
404,108,岡田萌枝,岡田萌枝（おかだ もえ）,,1987/10/16,,広島県,A型,,広島弁,東京外国語大学,,NSC東京校17期,2012/1/1,,,,,http://okadamoe.laff.jp/blog/,,
405,94,岡野絵里,岡野 絵里（おかの えり）,,1985/3/19,,群馬県高崎市,A型,153cm,標準語,高崎市立並榎中学校,,,2006/1/1,,,,,http://com.horipro.co.jp/talent/パシンペロン%20/index.html,,
406,88,岡野陽一,,,1981/11/29,,福井県敦賀市,B型,173cm,,京都産業大学外国語学部英米語学科中退,,スクールJCA17期,2008/1/1,,,,,http://www.pjinriki.com/talent/okanoyouichi/,,
407,108,岡部 ,岡部 秀範（おかべ ひでのり）,,1981/7/31,,千葉県 （福島県会津若松市生まれ）,A型,170cm,標準語,桐蔭横浜大学卒業,,NSC東京校10期,2004/1/1,,,岡部将和（弟）,,https://profile.yoshimoto.co.jp/talent/detail?id=3479,,
408,104,岡部大,,,1989/5/30,,秋田県秋田市,O型,173cm,,早稲田大学スポーツ科学部,,ワタナベコメディスクール12期,2010/1/1,,,,,https://www.watanabepro.co.jp/mypage/4000074/,https://www.youtube.com/channel/UCTA3AFI43NQ5Y9e9pzLZ2Q,
409,108,岡村隆史,,おかむ 岡ちゃん ちっちゃいおっさん,1970/7/3,,大阪府大阪市東淀川区,B型,156cm,大阪弁,立命館大学経営学部第二部中退,,NSC大阪校9期,1990/1/1,,一般女性（2020年）,,,,,
410,108,岡村まゆ,,,,,,,,,,,,2004/1/1,2010/1/1,,,,,,
411,95,岡本知己,,,,,,,,,,,NSC東京校1期（ゆうき）,2004/2/1,2017/12/1,,,,http://com.horipro.co.jp/talent/ヒデヨシ/index.html,,
412,999,岡本夏生,,,1965/9/12,,静岡県,B型,,,,,,,,,,,,,
413,999,おかもとまり,岡本 麻里,岡本 麻里,1989/12/13,,群馬県藤岡市,O型,156cm,群馬弁,昭和女子大学短期大学部,,,2006/1/1,2018/1/1,,,,https://html.co.jp/okamotomari1989/,,
414,128,岡本美樹,,,,,,,,,,,,2006/1/1,,,,,https://www.ohtapro.co.jp/talent/kuroyagi.html,,
415,16,岡本亮,,,,,,,,,,,NSC東京校8期（岡本） NSC大阪校23期（ナオ）,2009/9/1,2019/6/9,,,,,,
416,95,岡安章介,,,1979/9/12,,埼玉家桶川市,A型,174cm,,大宮市立大宮西高等学校,,,2000/1/1,,,,,http://com.horipro.co.jp/talent/naname45/,,
417,15,おかゆ太郎,渡辺 剛士（わたなべ たかお）,,1977/12/19,,新潟県新潟市,A型,168cm,共通語,日本映画学校,,,1998/1/1,,既婚,,,https://shupro.co.jp/talent/okayutaro/,,
418,108,オカリナ ,稻尾真季,,1984/9/28,,宮崎県西都市,A型,152cm,,日南学園高等学校看護科,,NSC東京校15期,2009/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=4253,https://www.youtube.com/channel/UCGuUAH4Md1uA7KERfWZ2wAQ,
419,108,小川夏海,,,,,,,,,,,,2004/1/1,2010/1/1,,,,,,
420,108,小川暖奈,,,,,,,,,,,NSC東京校14期,2009/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=3176,https://www.youtube.com/channel/UC_hiaGbzcHM6EMl6MC0cw3Q,
421,146,小川恵夢,小川 恵夢,メギー,1984/11/4,,福岡県北九州市,O型,153cm,,九州産業大学卒業,中山功太,,2008/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=2953,,
422,108,小川祐生,,,,,,,,,,,NSC東京校14期,2009/1/1,2016/3/29,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6583,,
423,75,小川梨瑠沙,,,,,,,,,,,現事務所直入（2016年5月1日）,2015/8/7,2017/12/31,,,,,,
424,88,小木博明,小木 博明（こぎ ひろあき）,小木くん、センス小木、オギーブン、小木さん おぎやはぎのエロいほう,1971/8/16,,東京都板橋区常盤台,B型,178cm,東京弁,東京都立北野高等学校 （現・東京都立板橋有徳高等学校）,,,1995/1/1,,森山奈歩（2006年10月結婚）,森山良子（丈母） 森山直太朗（義弟） かまやつひろし（姻戚）,,http://www.pjinriki.com/talent/ogiyahagi/,,
425,128,おぎたともこ,補陀 知子（おぎた ともこ）,,1979/5/31,,広島県,B型,157cm,広島弁,,,,2005/1/1,,,,,http://www.ohtapro.co.jp/jrlive/konomi/,,
426,999,奥重敦史,,,1980/6/29,,,A,171cm,,,,,,,無し,,,,,
427,108,奥田修二,,,1982/3/3,,,B型,180cm,,,,オーディション,2005/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=2870,,
428,108,奥村隼也,奥村隼也（おくむら じゅんや）,,1985/3/16,,福井県小浜市,A型,175cm,,大阪あべの辻調理師専門学校卒業,,NSC東京校14期,2009/1/1,,既婚,,,https://profile.yoshimoto.co.jp/talent/detail?id=6139,,
429,999,小倉繁,同じ,,1904/3/16,1958/5/29,,,,,,,,,,あり,,,,,
430,999,桶田敬太郎,桶田 敬太郎（読み同じ）,,1971/10/4,2019/11/23,三重県鈴鹿郡関町（現亀山市） （出生地は兵庫県）,A型,177cm,標準語・関西弁,三重県高田高等学校卒業,,,1989/1/1,2019/1/1,既婚,,,http://tokyomr.com/,,
431,146,オコチャ ,冨田 雄大（とみた たけひろ）,,1978/11/21,,,,,,,,NSC東京校4期,,,,,,,,
432,108,さゆり,尾崎小百合,,1969/7/15,,兵庫県神戸市長田区,B型,,,大阪音楽大学短期大学部ピアノ科中退,大平シロー（かつみ） 六代桂文枝（さゆり）,NSC大阪校2期（かつみ）,1995/1/1,,,,,,,
433,108,長田庄平,長田 庄平,,1980/1/28,,京都府京都市上京区,A型,168cm,標準語、京都弁,嵯峨美術短期大学,,NSC東京校11期,2006/1/1,,あり,,,,,
434,53,お侍ちゃん,内村 寛裕,,1681/3/17,,陸奥国南部藩（岩手県盛岡市）,O型,174cm,,四谷の寺子屋（上智大学理工学部物理学科）,,,,,有,,,,https://www.youtube.com/channel/UCVJPPjppS71pca9ryZRHX9g,
435,125,おさる,大森 晃（おおもり あきら）,モンキッキー（旧芸名） 宇都鬼（ウッキー）（書家名）,1968/9/19,,大阪府摂津市,AB型,171 cm,共通語、大阪弁,創価大学,,,1991/1/1,,山川恵里佳（2007年）,,,http://asaikikaku.co.jp/talent/profile/osaru,,
436,146,小澤憲,,,,,,,,,,,お笑い番長福岡 NSC東京校14期,2005/2/1,2019/3/30,,,,https://web.archive.org/web/20120504075252/http://okashin.laff.jp/,,
437,95,小沢一敬,小澤 一敬（読み同じ）,オザ、セカオザ、SEKAI NO OZAWAなど,1973/10/10,,愛知県知多市,B型,174cm,共通語 知多弁,名古屋大谷高等学校中退・知多市立旭南中学校卒業,,NSC名古屋校2期,1995/1/1,,未婚,,,,https://www.youtube.com/channel/UCobq8FTmlbctw88uB2NCJ6w,
438,108,小澤慎一朗,,,1988/9/15,,東京都葛飾区,AB型,172cm,,,,NSC東京校13期,2010/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=3570,,
439,108,小澤徹也,,,,,,,,,,,札幌吉本のオーディション,2012/1/1,,,,,,,
440,96,押しだしましょう子,永井 祥子（ながい しょうこ）,,1984/11/18,,富山県中新川郡立山町,O型,148cm,,京都橘大学大学院文学研究科書道専攻,,,2019/1/1,,,,,https://www.maseki.co.jp/talent/oshidashimashoko,,
441,108,押見泰憲,,,,,,,,,,,渋谷公園通り劇場,1998/1/1,2020/6/22,,,,https://profile.yoshimoto.co.jp/talent/detail?id=415,,
442,108,オジョー,藤田 文香（ふじた ふみか）,,1981/6/14,,北海道岩見沢市,O型,154cm,共通語,駒澤大学附属岩見沢高等学校卒業,,NSC東京校8期 NSC東京校俳優コース3期,2003/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=589,,
443,2,尾関高文,,,,,,,,,,,故林広志第3期コントサンプル,2004/1/1,,,,,http://ashd.info/geese.html,https://www.youtube.com/channel/UCAeTkHJBS7B5NR86sO1U7GA,
444,144,おせつ,,,,,,,,,,,,2016/1/1,,,,,http://talents.kproweb.com/osetsutokyota/,,
445,59,小田祐一郎,,,1977/3/13,,鹿児島県,A型,174cm,,鹿児島経済大学,,NSC東京校5期（小田） NSC名古屋校8期（松本）,2011/8/1,,,,,https://www.sma.co.jp/s/sma/artist/528?ima=0000#/news/0,,
446,108,おたけ,武山 浩三,,1982/12/2,,東京都中央区,AB型,172cm,,,,NSC東京校12期生,2007/1/1,,既婚,,,https://web.archive.org/web/20080708151407/http://junglepocket.laff.jp/,https://www.youtube.com/channel/UCOTWVPEpyVD6SyA3PdgIJw,
447,108,おたこぷー,松田 成史,,1972/1/17,,,,,,,,吉本福岡,1992/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=540,,
448,999,オットリー春日,,,1980/11/8,,埼玉県,B型,178cm,,産業能率大学,,,,,既婚,,,,,
449,999,音羽一憲,,,1984/2/11,,,A型,174 cm,,,,,,,,,,,,
450,88,翁長玄,,,,,,,,,,,スクールJCA20期,2012/5/1,,,,,http://www.pjinriki.com/talent/tamashizu/,,
451,146,おにぎり ,片桐健雄 (かたぎり たけお),,1977/7/19,,北海道,B型,193cm,,,,NSC東京校8期,,,,,,,,
452,117,おねだり豊,坂谷 豊,,1985/9/17,,大阪府枚方市,B型,157cm,関西弁,関西外国語大学,,松竹芸能株式会社東京15期生,2008/1/1,2017/5/31,,,,https://www.shochikugeino.co.jp/talents/onedariyutaka,,
453,999,小野栄一,同,,1930/2/5,,,A型,,,,,,,,,,,,,
454,88,小野大樹 ,,,,,,,,,,,スクールJCA14期（石倉） スクールJCA15期（小野）,2007/1/1,2016/1/29,,,,http://www.pjinriki.com/pc/talent/ishikuranoono/,,
455,104,小野まじめ,小野 頼孝,,1977/7/21,,東京都練馬区,O型,170cm,,青森大学社会学部,,,2000/1/1,,,,,https://www.watanabepro.co.jp/mypage/4000005/,,
456,146,小野竜輔,,,,,,,,,,,NSC大阪校,2016/1/1,2017/4/6,,,,,,
457,58,小野ますのぶ,,,,,,,,,,,,2002/1/1,,,,,http://solearia.com/adoba.html,,
458,108,おばたのお兄さん,小幡 和貴（おばた かずき）,,1988/6/5,,新潟県魚沼市,B型,165 cm,共通語 越後弁,日本体育大学,,NSC東京校18期,2013/1/1,,山﨑夕貴（2018年）,,,https://profile.yoshimoto.co.jp/talent/detail?id=4972,https://www.youtube.com/channel/UCY38LWW7KUNMy7puTiuayqQ,
459,94,小原正子,,,1975/10/23,,兵庫県神戸市東灘区,B型,162cm,神戸弁,日本大学芸術学部演劇学科卒業,,,2000/1/1,,マック鈴木,,,http://com.horipro.co.jp/talent/%E3%82%AF%E3%83%AF%E3%83%90%E3%82%BF%E3%82%AA%E3%83%8F%E3%83%A9/index.html,,
460,108,帯谷孝史,,,1950/3/16,,大阪府八尾市,,,大阪弁,,,,,,未婚（離婚歴、3子あり）,,,,,
461,104,おほしんたろう,於保 紳太郎（おほ しんたろう）,,1985/6/16,,佐賀県唐津市,A型,180cm,,九州大学文学部,,,,,,,,https://www.watanabepro.co.jp/mypage/80000010/,,
462,66,おぼん,井上 博一,,1949/2/2,,大阪府大阪市阿倍野区,,,,,,日本 大阪府,1965/1/1,,,,,,,
463,117,お祭りBoy,山口 元（やまぐち　はじめ）,,1984/2/16,,福岡県北九州市,O型,162cm,,,,松竹芸能タレントスクール東京校10期,2007/1/1,,なし,,,http://www.shochikugeino.co.jp/talents/03/post456.html,,
464,104,尾身智志,,,,,,,,,,,"早稲田大学お笑い工房LUDO15期生
ワタナベコメディスクール26期",2018/4/1,,,,,https://www.watanabepro.co.jp/mypage/4000101/,https://www.youtube.com/channel/UCQSxSetygmXHsBPgFvtWoZQ,
465,44,お見送り芸人しんいち,上野 晋一 （うえの しんいち）,,1985/4/21,,大阪府大東市,A型,176㎝,,大阪経済法科大学卒業,,松竹芸能タレントスクール,2009/1/1,2011/1/1,,,,,https://www.youtube.com/channel/UCg4hstoFSEMWc0rhw9vUEMw,
466,38,お宮の松 ,佐藤 勝（さとうまさる）,お宮,1973/6/24,,福岡県,O型,163cm,,,ビートたけし,,1994/1/1,,既婚,,,,,
467,108,おもしろ佐藤,,,,,,,,,,,NSC東京校12期,,,,,,,,
468,999,親泊泰秀,,,1990/7/20,,,A,173,,,,,,,,,,,,
469,999,オラキオ,松雪 崇,"松 タカシ 松雪 オラキオ 

レディー・サガ",1977/9/5,,佐賀県鳥栖市,O型,165 cm,,,,,,,既婚,,,http://www.rhinopro.com/profile_orakio.html,,
470,53,ORIE,小川 理絵,,1982/8/5,,佐賀県,O型,159cm,,専門学校九州ビジュアルアーツ,,,,,,,,https://www.sunmusicgp.co.jp/talent/orie/,,
471,104,居島一平,,さす平,1974/10/22,,東京都江東区亀戸,O型,171cm,標準語,早稲田大学社会科学部除籍,,,1998/1/1,,,,,,,
472,146,おーちゃん ,,,,,,,,,,,NSC東京校16期,2010/1/1,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6567,,
473,999,カートヤング,内海 仁志,どくろ団（旧芸名）,1972/5/6,,,O,,,,,,,,上床美智子 2007年 ,,,,,
474,88,ガーユー,,,,,,,,,,,スクールJCA5期10月生,1996/1/1,2009/1/31,,,,,,
