名前,本名,ニックネーム,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,公式サイト,YouTube,enta_id,office_id
ザクマシンガン山田,山田祐樹,,1979/4/28,,愛知県豊川市,A型,171cm,共通語,名城大学,,,1994/1/1,,https://ameblo.jp/zakumachinegun/,,,90
さちまる。,藤本幸子,,1975/1/27,,北海道標津郡標津町,AB型,,,,,スクールJCA7期,2004/1/1,,https://entame-g.com/talent_post/%e3%81%95%e3%81%a1%e3%81%be%e3%82%8b%e3%80%82/,,201,1
サツマカワRPG,薩川 凜（さつかわ りん）,,1991/1/26,,山梨県甲府市,A型,178cm,,,,ワタナベコメディスクール14期,1989/1/1,,,,,73
さな (お笑い芸人),,,1988/9/14,,東京都世田谷区,AB型,,,,,,1983/1/1,,,,,55
サブロクそうすけ,杉浦 双亮（すぎうら そうすけ）,八丈島の禿鷹,1976/2/8,,東京都八丈町,B型,174cm,共通語,帝京大学,,太田プロお笑いセミナー,2000/1/1,,https://www.ohtapro.co.jp/talent/saburokusousuke.html,,86,86
さるひげさん,さるひげ,さるひげ,,,さるひげ星,聞くとキレられる,聞くとキレられる,,,,さるひげ星,1995/1/1,2014/1/1,,,,17
さわやか五郎,岡見時秀,さわやか、さわごろ,1982/5/14,,神奈川県川崎市川崎区,AB型,178cm,,,,,2018/1/1,,http://www.up-front-create.com/jyoujyougundan/,,444,44
サンキュータツオ,安部 達雄,,1976/6/21,,東京都杉並区,B型,180 m,標準語,早稲田大学大学院文学研究科博士後期課程単位取得満期退学,,,2017/1/14,,https://www.watanabepro.co.jp/mypage/40000223/,,147,47
サンキュー安富,,,,,,,,,,,NSC大阪校13期（イーグル、タイガー、サンキュー） NSC大阪校15期（ブー）,1960/1/1,1969/1/1,http://choshinjuku.jp/,https://www.youtube.com/channel/UC8ao3oi5q70KccmjzrRKRYQ,359,59
さんきゅう倉田,倉田 健一（くらた けんいち）,,1985/2/11,,神奈川県横浜市,O型,167cm,,日本大学理工学部,,NSC東京校15期,2005/1/17,2007/1/11,,,,53
サンシャイン池崎,池﨑 慧（いけざき さとる）,ざっきー,1981/10/9,,鹿児島県鹿屋市,O型,173cm,標準語、鹿児島弁,大分大学工学部知能情報システム工学科,,ワタナベコメディスクール2期,1953/1/1,1971/1/1,https://www.watanabepro.co.jp/mypage/40000114/,,94,94
しあつ野郎,芝田 昭吾(しばた　しょうご),,1977/12/23,,愛知県,O型,174cm,,東海大学卒業,,東京NSC6期生,2008/1/1,,,,,75
シークエンスはやとも,高橋（たかはし） 駿等（はやとも）,はやとも はやともさん はやともくん はーちゃん,1991/7/8,,東京都渋谷区恵比寿,A型,,共通語,二松學舍大学卒業,,NSC東京校20期,2012/1/1,,,https://www.youtube.com/channel/UCZnndFCPnK1EC2PERlGvwOA,,61
ジーニー堤,堤 裕貴（つつみ ひろたか）,,1985/12/31,,東京都町田市,A型,176cm,,桐蔭横浜大学法学部卒業,,,2006/1/1,2016/1/1,,,,27
しいはしジャスタウェイ,,,,,,,,,,,NSC東京校12期,1972/1/1,,,,,47
シオマリアッチ,塩田 幸平（しおだ こうへい）,,1982/9/4,,神奈川県,A型,172cm,標準語,,,NSC大阪校26期,1993/1/1,,https://grapecom.jp/talent_writer/shiomariacchi/,,445,45
ジジ・ぶぅ,勝俣 喜明（かつまた よしあき）,,1956/10/21,,神奈川県,,173cm,,,,,2005/1/1,2014/1/1,http://wahahahompo.co.jp/member_profile/jijiboo.html,,,12
しのざき美知,,,1968/6/24,,埼玉県浦和市,,,,,,,2001/1/1,,https://www.kinokoninaritai.com/,,,74
シベリア文太,玉村 輝彦 （たまむら てるひこ）,,1964/5/24,,福井県越前市,,,,,間寛平,オーディション,2010/1/14,,,,200,100
シマシマ (お笑い芸人),,,1985/11/26,,山梨県,O型,180cm,,,,目黒笑売塾6期生,2018/1/11,,http://com.horipro.co.jp/profile/42shima.html,,,47
しまぞう,,,,,,,,,,,NSC東京校8期,1986/1/1,1990/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=3167,,360,60
ジミー大西,大西 秀明（おおにし ひであき）,ジミー（「ちゃん」づけされることもある）,1964/1/1,,大阪府八尾市,A型,160cm,大阪弁,大阪商業大学堺高等学校,ぼんちおさむ 明石家さんま,NSC1期生(半年先輩),2013/1/1,2016/1/1,,,159,59
しみちゃむ,,,,,,,,,,,,2018/1/11,2010/4/10,,,,76
じゃい,,,,,,,,,,,太田プロセミナー3期生,1992/1/1,,https://www.ohtapro.co.jp/talent/instantjonson.html,,110,10
シャカ大熊,大熊 啓誉（おおくま ひろたか）,,1974/12/16,,香川県高松市香西,O型,168cm,,法政大学卒業,,ホリプロタレントスカウトキャラバン,2016/1/1,,http://www.watanabepro.co.jp/mypage/artist/syaka.html,,72,72
ジャスティス岩倉,,ジャスティス,1982/5/11,,群馬県,O型,170.0cm,共通語,,,,2004/1/1,,https://ameblo.jp/i-kenshin/,,,66
ジャッキーちゃん,栄島 智（えいしま さとし）,,1974/10/15,,福岡県,B型,168 cm,,九州産業大学工学部建築学科,,,2016/1/1,,http://com.horipro.co.jp/talent/jackiechan/,,71,71
しゃばぞう,中島 靖吾（なかじま せいご）,,1974/7/7,,埼玉県,B型,176cm,,,,,2001/1/1,2017/1/1,https://neet-project.com/profile/syabazo/,,,27
シャバダバふじ,藤井 浩貴(フジイ ヒロキ),ふじ,1984/3/12,,広島県,B型,168cm,,,,NSC東京校8期,2001/1/1,,https://ameblo.jp/shabadaba-fuji/,,17,17
ジャボリ・ジェフ,,,1974/5/24,,アメリカ合衆国 コロラド州,A型,187 cm,,,,,2003/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6386,,,24
ジャンふじたに,藤谷 徹,リトル清宮 など,1978/3/20,,広島県広島市,A型,173cm,,,,NSC大阪校23期,2014/1/1,,https://littlekiyomiya.com/,,,80
ジャンボたかお,,,,,ジョウト地方,A,,,,,NSC東京校18期,1989/1/1,1999/1/1,https://www.youtube.com/channel/UC9UI_fNxTbfEJImAg5Y7pOw,https://www.youtube.com/channel/UC9UI_fNxTbfEJImAg5Y7pOw,,55
シュウペイ,成田 秀平（なりた しゅうへい）,,1987/7/16,,神奈川県横浜市港北区,A型,180cm,共通語,麻布大学附属渕野辺高校（現・麻布大学附属高等学校）,,,2009/1/1,2011/1/1,,,,62
シューレスジョー (お笑い芸人),飛山 茂人,,1975/1/18,,神奈川県綾瀬市,O型,,標準語,青山学院大学国際政治経済学部卒,,NSC東京校8期,2004/1/1,2013/1/1,https://web.archive.org/web/20080207045803/http://shoeless-joe.laff.jp/,,,35
しゅくはじめ,宿輪 竜一（しゅくわ りゅういち）,,1976/11/5,,横浜市,B型,168cm,,,,,1989/1/1,,http://www.asaikikaku.co.jp/profile/shuku/,,188,88
じゅんいちダビッドソン,内海 潤一（うちのうみ じゅんいち）,,1975/2/4,,兵庫県尼崎市,B型,175.3 cm,関西弁,名古屋学院大学,,,2012/1/1,,https://junichi-davidson.co.jp/,https://www.youtube.com/channel/UCbPF3u7WJIBJoEGMpYcxnLg,74,74
じゅんご,佐々木 順吾（ささき じゅんご）,,1977/5/27,,埼玉県東松山市,O型,173cm,,,,,1981/1/1,,http://asaikikaku.co.jp/talent/profile/jungo,,45,45
しゅんしゅんクリニックP,宮本 駿,,1983/7/2,,群馬県前橋市,O型,174 cm,,群馬大学医学部,,NSC東京校16期,1999/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6422,https://www.youtube.com/channel/UCbdwk05xDKDIP0fpgNYd1Jw,,23
ジョーク東郷,,,,,,O型,177cm,,,,,2011/1/1,2021/1/1,,,,28
ショーゴ,,,,,,,,,,,NSC東京校20期（ショーゴ）,1992/1/1,,https://grapecom.jp/talent_writer/tokyo-hoteison/,https://www.youtube.com/channel/UCNKU6ZxHDLgzTgiz0Wnek-Q,,94
ジョージマン北,苫田 晋司,,1965/12/23,,兵庫県姫路市,B型,174cm,播州弁,東洋大学附属姫路高等学校,帆足新一（ピース）,,2016/1/1,2017/1/1,http://shinjikita.gozaru.jp/,,,60
シルク (タレント),粕谷 文子,シルク姉さん 浪花の美容番長[出典無効] 西日本一のセクシー美女[出典無効],1959/3/31,,大阪府大阪市,A型,158cm,大阪弁,大阪外国語大学外国語学部英語科,,,2007/7/1,2012/3/12,https://web.archive.org/web/20090714190414/http://silk.laff.jp/,,183,83
じろう,,,,,,,,,,,NSC東京校11期,2006/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2735,https://www.youtube.com/user/sissonnelive,206,6
シンク (お笑い芸人),,,,,,,,,,,,2015/1/1,,,,378,78
しんじ,,,1974/9/8,,熊本県八代市千丁町,AB型,171cm,,,,NSC東京校2期,2004/1/1,2011/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=2656,,69,69
シンディー (ものまねタレント),進藤由香,,1980/8/5,,山形県酒田市,O型,154cm,,専門学校東京ビジュアルアーツ,,,2011/1/1,2016/1/1,https://shu-pro.co.jp/talent/shindy/,,,25
しんぷる内藤,内藤 慶（ないとう けい）,,1991/7/3,,神奈川県茅ヶ崎市,B型,171cm,,東京電機大学卒業,,スクールJCA24期,2018/1/17,2010/1/1,http://www.p-jinriki.com/talent/simplenaito/,,,60
しんや,松永 真也（まつながしんや）,,1990/5/21,,大阪府大阪市生野区,,,,,,NSC大阪校41期,1998/1/19,2007/1/11,,,,85
スギ。,,,,,,,,,,,太田プロセミナー3期生,2010/1/1,2020/1/1,https://www.ohtapro.co.jp/talent/instantjonson.html,,111,11
スギタヒロシ,杉田 洋 （すぎた ひろし）,,1972/8/14,,栃木県小山市,B型,,,,,,1987/10/1,,https://www.office-europa.com/スギタヒロシ,,400,100
スギちゃん,杉山 英司（すぎやま えいじ）,,1973/8/24,,愛知県一宮市（旧尾西市）,B型,163cm,共通語、尾張弁,愛知県立尾西高等学校,,NSC名古屋校2期,2019/1/1,,https://ameblo.jp/072100/,https://www.youtube.com/channel/UCD0F1MUSa_OWXpenAAF1O2g,404,4
スター旭,旭 圭介,,1980/11/20,,北海道函館市,O型,170cm,,函館大学付属有斗高等学校卒業,,ワタナベコメディスクール2期,2005/1/1,,,,91,91
スタジオカドタ (お笑い芸人),,カドタ,1985/7/7,,日本　大阪府,A型,,,,,NSC東京校13期,2017/1/1,,https://blogs.yahoo.co.jp/studio_kadota_blog,,298,98
スタスタローン,近藤邦洋,,1980/5/10,,奈良県,O型,,,,,ワタナベコメディスクール4期,1996/1/1,2010/1/1,,,,20
すっちー,須知 裕雅（すち ひろまさ）,,1972/1/26,,大阪府摂津市,O型,158センチメートル,大阪弁,兵庫科学技術専門学校,,,1982/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=747,,14,14
ズドン,須藤 祐（すどう ゆう）,,1980/1/5,,千葉県松戸市,A型,158cm,,,,,2002/1/1,2016/1/1,http://com.horipro.co.jp/profile/34zudon.html,,163,63
スパイシー坊や,岩方 時郎,,1993/10/29,,,A型,,,,,NSC東京校17期,2010/1/1,2021/1/1,,https://www.youtube.com/user/crazybouya1029,,75
スベリー杉田,杉田 宗広,,1981/11/5,,神奈川県南足柄市,A型,178cm,,早稲田大学社会科学部卒業（2004年）,,NSC東京校7期,2005/1/1,,https://suberiesugita.amebaownd.com/,,401,1
スマイリーキクチ,菊池 聡（きくち さとし）,スマイリー、スマイリーさん,1972/1/16,,東京都足立区北千住,O型,170cm,共通語,体育専門学校,,,2019/1/1,,https://ameblo.jp/smiley-kikuchi/,,360,60
スルメ (お笑い芸人),,,1978/11/4,,兵庫県,O型,,,,,,2009/1/1,,,,151,51
すわ親治,諏訪園（すわぞの） 親治（ちかはる）,,1952/11/14,,鹿児島県鹿児島市吉野町,A型,167cm,,,いかりや長介,,1986/1/1,1991/1/1,http://suwasworld.web.fc2.com/,,,1
せいや,石川 晟也（いしかわ せいや）,せいやん、せやたん、酒神、 ズム兄(※zoomお兄さんの略),1992/9/13,,大阪府東大阪市,A型,163 cm,関西弁,近畿大学文芸学部,,,2004/1/1,2012/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=5089,https://www.youtube.com/channel/UC69LHPVPZ0EVf35eJp_m9cQ,,23
セイワ太一,,,,,,,,,,,,2003/1/1,,https://www.sunmusic-gp.co.jp/talent/elshalakarni/,,112,12
せきあっし,関 篤志（せき あつし）,,1983/2/18,,群馬県,A型,180cm,,利根商業高等学校,,スクールJCA14期,2017/1/13,,https://ameblo.jp/sekinnikuman/,,135,35
セクシーJ,種田 穣一郎,,1979/8/15,,東京都葛飾区,A型,169cm,,東京造形大学,マキタスポーツ,,2004/1/1,2014/1/1,http://office-kitano.co.jp/talentposts/3816,,216,16
せつこ,永田摂子（ながた せつこ） （旧姓・平川）,,1982/1/27,,大分県竹田市,AB型,155cm,,大分工業高等専門学校,,松竹芸能タレントスクール東京校10期生,1988/1/1,1994/1/1,https://www.shochikugeino.co.jp/talents/setsuko,,,57
せとたけお,勢登 健雄（読み同じ）,,,,石川県七尾市,B型,180cm,,横浜国立大学教育人間学科卒業,,,1993/1/1,,https://www.maseki.co.jp/talent/setotakeo,,,12
ゼンゴー,後 善一（うしろ よしかず）,,1978/5/16,,和歌山県和歌山市,,,,,,スクールJCA13期,2007/1/1,,https://www.youtube.com/channel/UCPXeCVuR6HWE3nDl03TIh_Q,,,84
ゼンジー・一億,西山 秀一,,1952/6/20,,大阪府,,,,,,,2002/1/1,2007/1/1,,,,100
ぜんじろう,金谷 善二郎 （かなたに ぜんじろう）,,1968/1/30,,兵庫県姫路市,B型,170cm,,大阪芸術大学芸術学部 デザイン学科中退（現在は改名）,上岡龍太郎,,1992/1/1,1995/1/1,http://www.zenjiro.com/,,216,16
センス爆発女,増山 緑（ますやま みどり）,セン爆,1986/6/21,,神奈川県横浜市,,168cm,,,,スクールJCA18期,1972/1/1,1973/1/1,http://www.p-jinriki.com/talent/sensebakuhatsuonna/,,,80
せんだみつお,中野 光雄（なかの みつお）,,1947/7/29,,,O型,,,,,,1994/1/1,2000/1/1,https://www.ikushimakikaku.co.jp/senda-mitsuo/,,,93
せんちゃん,,,,,,,,,,,,2006/1/1,2009/1/17,https://www.watanabepro.co.jp/mypage/4000005/,,296,96
ソシコ,,,,,,,,,,,,2013/1/1,2017/9/1,http://www.tosp.co.jp/i.asp?I=KUDASHI&P=,,,53
そのこ,河野 園子 （かわの そのこ）,,1981/4/23,,北海道札幌市,,156 cm,,,,NSC東京校24期,2008/10/1,,https://profile.yoshimoto.co.jp/talent/detail?id=7228,,,77
そのまんま東,東国原（ひがしこくばる） 英夫（ひでお）,,1957/9/16,,宮崎県都城市,B型,170 cm,,,ビートたけし,,2016/1/1,,http://www.sonomanmahigashi.net/,,148,48
それいけ斉藤くん,斎藤啓一,,1985/3/7,,岐阜県,A型,171.5cm,,岐阜県立土岐紅陵高等学校,,NSC名古屋校12期,2016/1/1,2019/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=851,,327,27
タージン,石川 雄三,,1962/6/18,,大阪府大阪市旭区,,167cm,関西弁,桃山学院大学,,素人演芸番組,2015/1/1,,,,143,43
たいがー・りー,平井 博（ひらい ひろし）,,1974/10/27,,神奈川県,B型,164cm,,早稲田眼鏡専門学校,,,2012/1/1,2020/1/1,http://yohaku-tiger.com/,,253,53
タイガー福田,,,,,,,,,,,NSC大阪校13期（イーグル、タイガー、サンキュー） NSC大阪校15期（ブー）,1977/1/1,,http://choshinjuku.jp/,https://www.youtube.com/channel/UC8ao3oi5q70KccmjzrRKRYQ,362,62
ダイス (お笑い),小原 大祐,,1984/1/21,,宮崎県,AB型,174cm,,埼玉県立鳩ヶ谷高等学校,,NSC東京校13期,2009/1/1,,https://blogs.yahoo.co.jp/kohara_blog,,224,24
たいぞう,横山泰三（よこやま たいぞう）,,1974/1/12,,香川県観音寺市,A型,167cm,大阪弁,尽誠学園高等学校,,NSC大阪校11期,2017/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=674,,369,69
だいたひかる,小泉 ひかる,,1975/5/25,,埼玉県東松山市,O型,158.8cm,共通語,埼玉県立鶴ヶ島高等学校,,,2016/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=719,,143,43
だいどぅ,,,,,,,,,,,松竹芸能タレントスクール24期生（星ちゃん） 松竹芸能タレントスクール25期生（だいどぅ）,1995/1/1,2002/1/1,https://www.shochikugeino.co.jp/talents/tabegoropeach-2/,,,68
タカ (お笑い芸人),鈴木 崇大（すずき たかひろ）,タカちゃん,1976/4/3,,北海道札幌市豊平区,B型,175cm,共通語,北海高等学校,志村けん,,2016/1/18,,,,479,79
たかおみゆき,高尾 美由紀,,1971/9/3,,,A型,,,,,,1999/1/18,2006/1/11,,,,96
たかくら引越センター,高倉弘樹（たかくらこうき）,,1982/4/27,,福岡県朝倉郡東峰村,O型,,,,,NSC東京11期生,2004/1/11,,https://profile.yoshimoto.co.jp/talent/detail?id=3939,,219,19
たかし,,,,,,,,,,,NSC東京校10期,2010/1/14,,https://profile.yoshimoto.co.jp/talent/detail?id=2745,,116,16
タカタ先生 (お笑い芸人),高田和典,,1982/12/29,,広島県,AB型,,,東京学芸大学教育学部数学科,,NSC東京校13期,2010/1/17,,,,294,94
タカマッチ,,,1978/9/13,,千葉県,,177cm,,千葉県立浦安南高等学校卒業,,ワタナベコメディスクール26期 タイタンの学校1期,1998/1/1,2005/1/1,https://www.takamatchi.com/,,,84
たかまつなな,高松 奈々,,1993/7/5,,神奈川県横浜市 （大阪府八尾市生まれ）,O型,159cm,,慶應義塾大学大学院政策メディア研究科,,ワタナベコメディスクール15期（特待生）,2012/1/1,2016/1/1,https://takamatsunana.com,,,80
タカユ機01,,,1983/12/15,,青森県,AB型,172cm,,,,,2005/1/1,,https://profile.ameba.jp/ameba/takayumachine,,,92
たけだバーベキュー,,,1986/1/17,,兵庫県加古川市,,,,,,,1990/1/1,,,,,28
タケタリーノ山口,,,,,,,,,,,,2014/1/1,,http://shunkanmetal.jp/,,494,94
タケト,,,1976/3/2,,千葉県千葉市中央区,B型,165cm,標準語,,,,2009/1/19,,https://profile.yoshimoto.co.jp/talent/detail?id=227,,28,28
たける,,,,,,,,,,,NSC東京校20期（ショーゴ）,1992/1/1,1994/1/1,https://grapecom.jp/talent_writer/tokyo-hoteison/,https://www.youtube.com/channel/UCNKU6ZxHDLgzTgiz0Wnek-Q,,95
たこ八郎,斉藤 清作（さいとう せいさく）,たこちゃん,1940/11/23,1985/7/24,宮城県仙台市宮城野区,,,標準語,仙台育英学園高等学校,由利徹,舞台,1984/1/1,1990/1/1,,,58,58
タツキ・マイアミ,髙橋 竜基,,,,フィリピン（ココナッツの原産国ということで）,,不明,,,,,2005/1/1,2016/1/1,,,,55
タックルながい。,長位 章充（ながい あきよし）,,1973/10/16,,,AB,176,,,,,1989/1/1,,,,,13
たつろう,浦辻 達郎（うらつじ たつろう）,,1984/5/26,,富山県南砺市,B型,175 cm,,新潟大学卒業,,NSC東京校13期,2005/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6970,,,52
タナカシングル,,,,,,,,,,,NSC大阪校36期,1978/6/1,1983/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=5755,,,86
たなかつよし,田中 毅（読み同じ）,,1972/6/27,,大阪府,B型,,大阪弁,,,,2012/1/1,,https://www.shochikugeino.co.jp/talents/tanakatsuyoshi,,362,62
タバやん。,,,,,,,,,,,NSC東京校14期,2000/1/14,,https://profile.yoshimoto.co.jp/talent/detail?id=4187,,,14
タブレット純,橋本康之,田渕純(別名),1974/8/31,,神奈川県相模原市,A型,,,,,,2019/1/1,,https://toruba.net/,,,31
たまこ,,,1975/1/18,,熊本県,O型,,,,,,1992/1/1,1999/1/1,,,,36
たむらけんじ,田村 憲司（たむら けんじ）,たむけん　おたむ　むらちゃん（タコ兄のみ）,1973/5/4,,大阪府阪南市,A型,180cm,大阪弁,大阪府立和泉高等学校,,NSC大阪校11期,2010/1/15,,http://www.de-la-soul.co.jp/tamuken/index.html,,341,41
タモリ,森田 一義（もりた かずよし）,タモリさん タモさん タモちゃん,1945/8/22,,福岡県福岡市南区市崎,O型,161 cm,共通語 博多弁,福岡県立筑紫丘高等学校卒業 早稲田大学第二文学部西洋哲学専修除籍,赤塚不二夫,,2007/1/1,2009/1/1,http://www.tanabe-agency.co.jp/,,104,4
ダンカン (お笑い芸人),飯塚 実,,1959/1/3,,埼玉県入間郡毛呂山町,B型,176cm,標準語,千代田工科芸術専門学校 映画芸術科,立川談志,落語,2007/1/1,2014/1/1,,,,22
タンク (お笑い芸人),,,,,,,,,,,,2008/1/1,,,,379,79
ダンジー,平田 幹裕（ひらた みきひろ）,,1971/7/17,,福岡県,A型,167cm,,大阪芸術大学,,,2007/1/1,,,,,94
ダンディ坂野,坂野 賢一,,1967/1/16,,石川県加賀市,AB型,166cm,共通語,石川県立大聖寺実業高等学校,,スクールJCA2期,2008/1/1,2016/1/1,https://ameblo.jp/dandy-sakano/,,352,52
チェリー吉武,,,1980/10/13,,静岡県、佐賀県,O型,179cm,,,,,1995/1/1,,http://wahahahompo.co.jp/member_profile/cherry_yoshitake.pdf,,,30
チカコホンマ,本間 千佳子（ほんま ちかこ）,,1994/5/4,,千葉県,O型,168cm,,,,NSC大阪校36期,2004/1/1,2010/1/1,,https://www.youtube.com/channel/UC6mt9RoLyKA5J06Wu5EarPA,,65
チャーミングじろうちゃん,,,,,,,,,,,NSC大阪校17期（井上）,1998/1/1,,http://neet-project.com/profile/charming/index.html,,52,52
チャーリー浜,西岡 正雄 （にしおか まさお）,,1942/11/7,2021/4/18,大阪府大阪市浪速区,,,,,花紀京,,2011/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=700,,35,35
ぢゃいこ,是澤 綾子 これさわ あやこ,,1981/2/20,,,A,,,,,,1998/1/1,2009/1/1,,,,39
チャド・マレーン (お笑い芸人),,,,,,,,,,ぼんちおさむ（チャド）,NSC大阪校19期（加藤） NSC大阪校21期（チャド）,2019/1/1,,http://chad.jp/,,233,33
ちゃまくん,大牟禮 要,,1986/6/6,,長崎県大村市,AB型,170 cm,共通語、長崎弁、ちゃま語,,,NSC東京校11期,2006/1/1,2013/1/1,,,106,6
チャンカワイ,,,,,,,,,,,NSC大阪校18期（えとう）,2003/1/11,2008/1/13,https://www.watanabepro.co.jp/mypage/4000006/,,298,98
チャンス大城,大城 文章（おおしろ ふみあき）,,1975/1/22,,兵庫県尼崎市,O型,162cm,関西弁,伊丹市立伊丹高等学校（定時制）,,NSC大阪校8期・13期（NSCに再入学した為）,2002/1/1,2005/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=6517,,289,89
ちゅうえい,中島仲英,,1978/7/29,,岐阜県下呂市,A型,169cm,飛騨弁,拓殖大学卒業,,,2005/1/1,,http://www.asaikikaku.co.jp/profile/nagareboshi/,,324,24
チュンちゃん,中平 真司（なかひら しんじ）,,1984/2/23,,日本,,166cm,,,,,2003/1/1,,https://www.shochikugeino.co.jp/talents/chunchan/,,453,53
ツートン青木,青木 努（あおき つとむ）,,1959/6/27,,神奈川県,O型,160cm,共通語,,,,2005/1/1,,http://www.twotone.co.jp/,,,27
ツクロークン,,,1973/4/5,,日本,,145cm,,愛知教育大学教育学部美術科,,NSC東京校13期,2000/1/1,,,,288,88
ツジカオルコ,辻 薫子（読み同じ）,,1982/8/4,,福岡県福岡市,O型,152cm,共通語、博多弁,,,NSC大阪校27期,2019/1/13,,https://profile.yoshimoto.co.jp/talent/detail?id=824,,72,72
ツネ,,,,,,,,,,,NSC大阪校26期（八十島） NSC大阪校27期（ツネ）,1980/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2721,,,57
つぶやきシロー,永塚 勤  （ながつか つとむ）,つぶさん つぶやき,1971/3/10,,栃木県下都賀郡野木町,A型,170cm,栃木弁,愛知学院大学文学部心理学科,,,2006/1/1,,https://www.horipro.co.jp/tsubuyakishiro/,,395,95
つまみ枝豆,青木 隆彦,ポポ（旧芸名）,1958/6/1,,静岡県伊豆市,A型,170cm,共通語,三島高等学校,ビートたけし,お笑いスター誕生,2019/1/1,,https://tap-1.jp/mame/,,150,50
ティ・カトウ,,,,,,,,,,ぼんちおさむ（チャド）,NSC大阪校19期（加藤） NSC大阪校21期（チャド）,1966/1/1,,http://chad.jp/,,227,27
ディエゴ (お笑い芸人),,,,,,,,,,,NSC東京校10期,2004/1/1,2008/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=3211,,175,75
ディエゴ・加藤・マラドーナ,,,1980/10/31,,神奈川県横浜市,,,,,,,2006/1/1,,,,,32
デイエノボル,,,1980/5/16,,沖縄県,A型,174cm,,,,,2003/1/1,,http://asaikikaku.co.jp/talent/profile/deienoboru,,,21
テキサス (お笑い芸人),武田 圭二,,1977/3/22,,愛媛県新居浜市,A型,,,,,,2007/1/1,2010/1/1,,,427,27
できたくん,高橋（たかはし） 和之（かずゆき）,,1980/4/13,,群馬県前橋市,A型,169cm,,群馬大学教育学部美術専攻,,,2011/1/1,2016/1/1,http://www.kdashstage.jp/profile/archives/16,,,17
ですよ。,斉藤 哲也（さいとう てつや）,,1976/2/12,,東京都足立区,AB型,175 cm,,,,NSC東京校7期,2002/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=835,,,54
テツ (お笑い芸人),,,,,日本,,,,,,,2019/1/1,,http://www.tetsu-tomo.com/,,171,71
デッカチャン,重川 昌弘（しげかわ まさひろ）,,1976/9/4,,広島県東広島市生まれ 大阪府枚方市育ち,O型,183cm,関西弁,大阪府立長尾高等学校,,NSC大阪校15期 中退,2015/1/12,,https://blogs.yahoo.co.jp/dekka_blog/,,93,93
てつじ,,,,,,,,,,,心斎橋筋2丁目劇場素人参加形ライブ「ワチャワチャライブJr.」,1997/1/1,,,,493,93
デビット伊東,伊藤 努（いとう つとむ）,,1966/8/12,,埼玉県入間市,A型,180 cm,,,,,2015/1/1,2017/1/1,,,,65
デビテツヤ,,,1979/11/6,,埼玉県,AB,169cm,共通語,,,,2007/1/1,,https://www.facebook.com/devitetsuya.Official,,,5
テル (お笑い芸人),菊池 輝一,,1969/12/14,,愛媛県八幡浜市,B型,172cm,共通語,愛媛県立八幡浜高等学校,,,2010/1/1,,,,11,11
デロリアン林,,,,,,,,,,,NSC東京校8期（エル上田）,2006/1/16,2012/1/1,https://www.maseki.co.jp/talent/eru_kabuki,,,7
デンシレンジ小林,小林敦史,,1975/12/5,,静岡県御殿場市,A型,164cm,,町田・デザイン専門学校,,,2011/1/11,,,,,51
でんでん,緒方 義博（おがた よしひろ）,,1950/1/23,,,A型,174 cm,,,,,2007/1/1,,http://www.alpha-agency.com/artist/denden.html,,,95
テント (漫談家),三浦 得生（みうら とくお）,,1951/5/16,2016/9/27,大阪府八尾市,O型,173cm,大阪弁,近畿大学附属高等学校卒業,川上のぼる 上岡龍太郎,,2009/1/1,,https://megalodon.jp/2016-0928-0242-54/search.yoshimoto.co.jp/talent_prf/?id=653,,103,3
ドイツみちこ,土居 美知子（どい みちこ）,,1978/1/21,,愛媛県宇和島市,A型,156cm,,,,NSC東京校8期,1999/1/1,2011/1/1,https://www.ohtapro.co.jp/talent/kojirasehusky.html,,430,30
トキ (お笑い芸人),,,,,,,,,,,NSC大阪校26期,1970/1/1,,,,120,20
とくこ,徳村 亜紀子（とくむら あきこ）,,1979/4/1,,東京都,,,標準語,,,NSC東京校5期,1992/1/1,,,,,94
どさんこ室田,室田真宏（むろたまさひろ）,"どさんこ室田

混沌の笑武者",1982/2/25,,北海道北見市,AB型,177 cm,,北海道北見工業高等学校卒業,,よしもと沖縄エンターテイメントカレッジ1期生,2010/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6900,,,61
